Stoats,Food
0,285
0,290
0,290
0,290
0,290
0,290
0,290
0,290
0,290
0,290
0,290
0,290
0,290
0,290
0,290
0,290
0,290
0,290
0,290
0,290
0,290
0,290
0,290
0,290
0,290
0,290
0,291
0,292
0,297
0,297
0,297
0,297
0,297
0,297
0,297
0,297
0,297
0,297
0,297
0,297
0,297
0,297
0,297
0,297
0,297
0,297
0,297
0,297
0,297
0,297
0,297
0,297
0,297
0,311
0,317
0,320
0,320
0,320
0,320
0,320
0,320
0,320
0,320
0,320
0,320
0,320
0,320
0,320
0,320
0,320
0,320
0,320
0,320
0,320
0,320
0,320
0,320
0,320
0,320
0,320
0,332
0,336
0,342
0,342
0,342
0,342
0,342
0,342
0,342
0,342
0,342
0,342
0,342
0,342
0,342
0,342
0,342
0,342
0,342
0,342
0,342
0,342
0,342
0,342
0,342
0,342
0,342
0,344
0,350
0,352
0,352
0,352
0,352
0,352
0,352
0,352
0,352
0,352
0,352
0,352
0,352
0,352
0,352
0,352
0,352
0,352
0,352
0,352
0,352
0,352
0,352
0,352
0,352
0,352
0,352
0,360
0,364
0,364
0,364
0,364
0,364
0,364
0,364
0,364
0,364
0,364
0,364
0,364
0,364
0,364
0,364
0,364
0,364
0,364
0,364
0,364
0,364
0,364
0,364
0,364
0,364
0,364
0,370
0,370
0,370
0,370
0,370
0,370
0,370
0,370
0,370
0,370
0,370
0,370
0,370
0,370
0,370
0,370
0,370
0,370
0,370
0,370
0,370
0,370
0,370
0,370
0,370
0,370
0,379
0,386
0,389
0,389
0,389
0,389
0,389
0,389
0,389
0,389
0,389
0,389
0,389
0,389
0,389
0,389
0,389
0,389
0,389
0,389
0,389
0,389
0,389
0,389
0,389
0,389
0,389
0,397
0,405
0,408
0,408
0,408
0,408
0,408
0,408
0,408
0,408
0,408
0,408
0,408
0,408
0,408
0,408
0,408
0,408
0,408
0,408
0,408
0,408
0,408
0,408
0,408
0,408
0,408
0,408
0,414
0,417
0,417
0,417
0,417
0,417
0,417
0,417
0,417
0,417
0,417
0,417
0,417
0,417
0,417
0,417
0,417
0,417
0,417
0,417
0,417
0,417
0,417
0,417
0,417
0,417
0,417
0,417
0,426
0,426
0,426
0,426
0,426
0,426
0,426
0,426
0,426
0,426
0,426
0,426
0,426
0,426
0,426
0,426
0,426
0,426
0,426
0,426
0,426
0,426
0,426
0,426
0,426
0,442
0,443
0,454
0,454
0,454
0,454
0,454
0,454
0,454
0,454
0,454
0,454
0,454
0,454
0,454
0,454
0,454
0,454
0,454
0,454
0,454
0,454
0,454
0,454
0,454
0,454
0,454
0,455
0,460
0,470
0,470
0,470
0,470
0,470
0,470
0,470
0,470
0,470
0,470
0,470
0,470
0,470
0,470
0,470
0,470
0,470
0,470
0,470
0,470
0,470
0,470
0,470
0,470
0,470
0,481
0,488
0,488
0,488
0,488
0,488
0,488
0,488
0,488
0,488
0,488
0,488
0,488
0,488
0,488
0,488
0,488
0,488
0,488
0,488
0,488
0,488
0,488
0,488
0,488
0,488
0,488
0,488
0,495
0,496
0,496
0,496
0,496
0,496
0,496
0,496
0,496
0,496
0,496
0,496
0,496
0,496
0,496
0,496
0,496
0,496
0,496
0,496
0,496
0,496
0,496
0,496
0,496
0,496
0,496
0,500
0,514
0,514
0,514
0,514
0,514
0,514
0,514
0,514
0,514
0,514
0,514
0,514
0,514
0,514
0,514
0,514
0,514
0,514
0,514
0,514
0,514
0,514
0,514
0,514
0,514
0,514
0,518
0,525
0,525
0,525
0,525
0,525
0,525
0,525
0,525
0,525
0,525
0,525
0,525
0,525
0,525
0,525
0,525
0,525
0,525
0,525
0,525
0,525
0,525
0,525
0,525
0,525
0,531
0,535
0,536
0,536
0,536
0,536
0,536
0,536
0,536
0,536
0,536
0,536
0,536
0,536
0,536
0,536
0,536
0,536
0,536
0,536
0,536
0,536
0,536
0,536
0,536
0,536
0,536
0,542
0,545
0,551
0,551
0,551
0,551
0,551
0,551
0,551
0,551
0,551
0,551
0,551
0,551
0,551
0,551
0,551
0,551
0,551
0,551
0,551
0,551
0,551
0,551
0,551
0,551
0,551
0,556
0,558
0,567
0,567
0,567
0,567
0,567
0,567
0,567
0,567
0,567
0,567
0,567
0,567
0,567
0,567
0,567
0,567
0,567
0,567
0,567
0,567
0,567
0,567
0,567
0,567
0,567
0,571
0,576
0,581
0,581
0,581
0,581
0,581
0,581
0,581
0,581
0,581
0,581
0,581
0,581
0,581
0,581
0,581
0,581
0,581
0,581
0,581
0,581
0,581
0,581
0,581
0,581
0,581
0,589
0,598
0,612
0,612
0,612
0,612
0,612
0,612
0,612
0,612
0,612
0,612
0,612
0,612
0,612
0,612
0,612
0,612
0,612
0,612
0,612
0,612
0,612
0,612
0,612
0,612
0,612
0,612
0,618
0,621
0,621
0,621
0,621
0,621
0,621
0,621
0,621
0,621
0,621
0,621
0,621
0,621
0,621
0,621
0,621
0,621
0,621
0,621
0,621
0,621
0,621
0,621
0,621
0,621
0,624
0,624
0,624
0,624
0,624
0,624
0,624
0,624
0,624
0,624
0,624
0,624
0,624
0,624
0,624
0,624
0,624
0,624
0,624
0,624
0,624
0,624
0,624
0,624
0,624
0,624
0,624
0,641
0,654
0,657
0,657
0,657
0,657
0,657
0,657
0,657
0,657
0,657
0,657
0,657
0,657
0,657
0,657
0,657
0,657
0,657
0,657
0,657
0,657
0,657
0,657
0,657
0,657
0,657
0,665
0,665
0,681
0,681
0,681
0,681
0,681
0,681
0,681
0,681
0,681
0,681
0,681
0,681
0,681
0,681
0,681
0,681
0,681
0,681
0,681
0,681
0,681
0,681
0,681
0,681
0,681
0,687
0,694
0,697
0,697
0,697
0,697
0,697
0,697
0,697
0,697
0,697
0,697
0,697
0,697
0,697
0,697
0,697
0,697
0,697
0,697
0,697
0,697
0,697
0,697
0,697
0,697
0,697
0,705
0,707
0,707
0,707
0,707
0,707
0,707
0,707
0,707
0,707
0,707
0,707
0,707
0,707
0,707
0,707
0,707
0,707
0,707
0,707
0,707
0,707
0,707
0,707
0,707
0,707
0,707
0,717
0,723
0,734
0,734
0,734
0,734
0,734
0,734
0,734
0,734
0,734
0,734
0,734
0,734
0,734
0,734
0,734
0,734
0,734
0,734
0,734
0,734
0,734
0,734
0,734
0,734
0,734
0,744
0,744
0,752
0,752
0,752
0,752
0,752
0,752
0,752
0,752
0,752
0,752
0,752
0,752
0,752
0,752
0,752
0,752
0,752
0,752
0,752
0,752
0,752
0,752
0,752
0,752
0,752
0,760
0,768
0,773
0,773
0,773
0,773
0,773
0,773
0,773
0,773
0,773
0,773
0,773
0,773
0,773
0,773
0,773
0,773
0,773
0,773
0,773
0,773
0,773
0,773
0,773
0,773
0,773
0,778
0,780
0,780
0,780
0,780
0,780
0,780
0,780
0,780
0,780
0,780
0,780
0,780
0,780
0,780
0,780
0,780
0,780
0,780
0,780
0,780
0,780
0,780
0,780
0,780
0,780
0,780
0,788
0,788
0,791
0,791
0,791
0,791
0,791
0,791
0,791
0,791
0,791
0,791
0,791
0,791
0,791
0,791
0,791
0,791
0,791
0,791
0,791
0,791
0,791
0,791
0,791
0,791
0,791
0,794
0,799
0,813
0,813
0,813
0,813
0,813
0,813
0,813
0,813
0,813
0,813
0,813
0,813
0,813
0,813
0,813
0,813
0,813
0,813
0,813
0,813
0,813
0,813
0,813
0,813
0,813
0,819
0,831
